,SVM
115,0.6992430364479959
116,0.6977464875089527
117,0.7135473301002566
118,0.7323961320359078
119,0.7065705605076574
120,0.7585222422195635
121,0.7221097845814608
122,0.6365037474836266
123,0.6638473734552813
124,0.725829905537364
125,0.596901832491281
126,0.7061756348338485
127,0.6635577033177171
128,0.8373079633412357
129,0.6457907184080609
130,0.6884537283546178
131,0.8021178765640492
132,0.7630938927294134
133,0.7179720436874709
134,0.7733971868473735
135,0.687242379936492
136,0.7965968513962937
137,0.6826005009802312
138,0.704558340653744
139,0.7017257844099436
140,0.6820504347640357
141,0.6986081462455043
142,0.7293683819235128
143,0.7912361721181226
144,0.7141682995613957
145,0.7864593461788835
146,0.6873156775540312
147,0.6009890413400754
148,0.6164881804326702
149,0.7849205796369934
150,0.5574408384206142
151,0.6727273253226833
152,0.6743964752214929
153,0.7543690693048472
154,0.6468805219551235
155,0.7478408082752137
156,0.7187579901547315
157,0.6777347126222641
158,0.656490372880242
159,0.7144363690367511
160,0.7636172154933345
161,0.7589354394060548
162,0.7111468283633587
163,0.6500141990143209
164,0.7667943598577681
165,0.6416441604153814
166,0.7115142133177231
167,0.6521758774025619
168,0.8986661485932452
169,0.680210544962023
170,0.46088141516789116
171,0.6981494150276868
172,0.6880301925986544
173,0.7979797217267889
174,0.6691874893092445
175,0.6513289763884803
176,0.7273617592157398
177,0.7184655002364594
178,0.7317171479859256
179,0.7484677611226845
180,0.8861355198438848
181,0.7299367321297836
182,0.7473139772024746
183,0.6991267302509158
184,0.7269117227542665
185,0.8640291286268378
186,0.3845059671817474
187,0.39295708918970595
188,0.8610329791578342
189,0.6536906881447317
190,0.6068321467535761
191,0.761903272376279
192,0.7183965620798644
193,0.6066062710429558
194,0.4692547871147594
195,0.7016166986640773
196,0.7321708713953851
197,0.41523014927196583
198,0.7135916070371202
199,0.6658895273449011
200,0.83126744780803
201,0.457222618257833
202,0.5101110846062166
203,0.2547947385400511
204,0.3305971833782375
205,0.34608875713448256
206,0.5368756856158269
207,0.39067225765046654
208,0.3194389130762031
209,0.18933515453747712
210,0.6750451971283342
211,0.730582690290702
212,0.7018573455549786
213,0.008015155806956355
214,0.5322007312879262
215,0.33939983779522065
216,0.7433477582266714
217,0.7656913544549258
218,0.6820500389372876
219,0.7253048658906378
220,0.7838892392638831
221,0.720722757736477
222,0.7777787088204364
223,0.6348469455560807
224,0.690592314272264
225,0.6901596762779263
226,0.6546882603208853
227,0.7654363330938281
228,0.6663162310681823
229,0.7319586212305434
230,0.7406312094286444
231,0.6611914615023056
232,0.7040523512312653
233,0.6907574633162472
234,0.6975308792311514
235,0.5766697598242018
236,0.7124981629255197
237,0.5886504483603024
238,0.6443920308387269
239,0.7186566965745904
240,0.37252401356610454
241,0.6271129242231275
242,0.2529104667525763
243,0.4086765961721914
244,0.4868186055842718
245,0.537237562989913
246,0.6249678003965765
247,0.09169867967322587
248,0.5
249,0.5438270709623144
250,0.5644495193539144
251,0.7184893463260009
252,0.397131806967082
253,0.4259234192053613
254,0.6225941579492691
255,0.44131054812292153
256,0.8317424383616604
257,0.7453625284635608
258,0.18231088930339348
259,0.5544577419255139
260,0.5422813054169529
261,0.640106273370445
262,0.7547270577077408
263,0.5158180072540159
264,0.5663363337790432
265,0.6438511412784126
266,0.7518851305272763
267,0.7213259025414579
268,0.7375241085467381
269,0.6270007903365004
270,0.7725996019169626
271,0.6001590188700591
272,0.7093940878791909
273,0.7202935357522784
274,0.64267682529527
275,0.6269867817325673
276,0.6348641216153454
277,0.6277270985019314
278,0.5277781680362839
279,0.6778589098150388
280,0.6299690224662101
281,0.4811175571764137
282,0.010297817532223164
283,0.6066327732606315
284,0.4528199052765991
285,0.03297611724699027
286,0.4776006374550165
287,0.19190244239040385
288,0.6407131853646861
289,0.551356910432955
290,0.32791850399434425
291,0.5982989051650313
292,0.4085648465130326
293,0.6721301322485292
294,0.6345154422717356
295,0.014194988492757969
296,0.31528900193083836
297,0.7125090989064762
298,0.6151995086500264
299,0.4048550484404792
300,0.6990144344761787
301,0.4914344332943777
302,0.6460872774041029
303,0.7917724648823394
304,0.4804640407177846
305,0.6287682022451613
306,0.5322017049329417
307,0.57591709983742
308,0.7627774343571814
