,Logistic_Regression
136,0.730806916082957
137,0.6227807914634275
138,0.6594439677926665
139,0.686089676658698
140,0.5990244065095015
141,0.69791154237608
142,0.7185739561898743
143,0.7029870048646883
144,0.706726273371653
145,0.7380493046557636
146,0.6372769618908082
147,0.6092999009704265
148,0.5443366206260511
149,0.6573208958767759
150,0.564092480145607
151,0.6104219523693359
152,0.6161295916552979
153,0.7210711790850597
154,0.6049078378332541
155,0.6906442463806977
156,0.6897762970173033
157,0.6518348378685911
158,0.6022098669582755
159,0.6583683928131846
160,0.714375277137553
161,0.7084503856290748
162,0.6673942094512184
163,0.6097941799382489
164,0.7318198046659944
165,0.6057835797900629
166,0.6753275878056296
167,0.6322658163898679
168,0.7801521447632663
169,0.6842062977374911
170,0.7201353400554983
171,0.7467305543482539
172,0.7127277837014268
173,0.7105038505484242
174,0.6386916844781005
175,0.6221390919757344
176,0.5861873122408403
177,0.6896651254777528
178,0.8167291965781838
179,0.7166504503358365
180,0.8056415128726695
181,0.6622937589917575
182,0.6663021109592713
183,0.6420230557311296
184,0.6383532780308457
185,0.7495940081555661
186,0.46004086975890846
187,0.3444530914176803
188,0.7942651437329562
189,0.5893850831020649
190,0.5490416034615274
191,0.7227953709282722
192,0.4887641278464871
193,0.5941034455080435
194,0.5275517971966812
195,0.5958748989160346
196,0.6542421399794646
197,0.4605866760302689
198,0.674092212436769
199,0.5395450339722897
200,0.8146720889921066
201,0.48202537215245705
202,0.6362288730050628
203,0.49041621426418675
204,0.4613872018546237
205,0.4904430760473373
206,0.5787285100415871
207,0.5239153455906447
208,0.45926810276576413
209,0.40397897913732783
210,0.6561354868224187
211,0.6442074600437376
212,0.6715101567046685
213,0.1515034365117624
214,0.6021013042960505
215,0.47608527813211604
216,0.6810211934493923
217,0.7188558042150511
218,0.782680159874377
219,0.7030187855318637
220,0.6380793840394743
221,0.6846038828942262
222,0.6847130776923378
223,0.5236694390648834
224,0.6092606569785113
225,0.6572824640860633
226,0.5433461146420098
227,0.6895741200722298
228,0.6224700563585674
229,0.683565291021303
230,0.7193617738452048
231,0.6606030463247551
232,0.6580787459299385
233,0.5973805452292736
234,0.5875783810522336
235,0.5869960484300936
236,0.6290218735000564
237,0.5438701999559624
238,0.5069447397150457
239,0.7114646967192944
240,0.6653428149686426
241,0.6130725970485182
242,0.4977410428761074
243,0.5049742237623273
244,0.5270468336943683
245,0.5945519024661342
246,0.6239181254732883
247,0.30605876549748035
248,0.5352328730522476
249,0.5835389658444669
250,0.5519007294528602
251,0.6350283396252093
252,0.4526036920559089
253,0.5197923082529626
254,0.6234304102049181
255,0.6670656989715141
256,0.6020574692525076
257,0.6709454554046611
258,0.5369591079800825
259,0.5386305063345431
260,0.47362978768905384
261,0.6250085809124964
262,0.6974207723423266
263,0.5253748437755025
264,0.5882522439416574
265,0.5971012109539218
266,0.6241891648430091
267,0.643334115109629
268,0.610600051479413
269,0.5683414353207967
270,0.7272334675360955
271,0.569733086108764
272,0.6946249334563073
273,0.6424770279783162
274,0.6095901053526109
275,0.5566422085110487
276,0.6067939720418388
277,0.589618544002654
278,0.4454245061555206
279,0.6275353323538755
280,0.5848120775123352
281,0.7041231223462636
282,0.08623928585867541
283,0.6751746907327697
284,0.00023647341238485986
285,0.0016872396701896975
286,0.5566083063561388
287,0.4393200423002527
288,0.5805922453043234
289,0.5516559114787545
290,0.4489403235071152
291,0.5689066305059536
292,0.48662721450960195
293,0.643783227148138
294,0.6140492452904309
295,0.2680430943996276
296,0.4894275171808456
297,0.6866802759595572
298,0.6102065700427602
299,0.7659765757030186
300,0.6786840572789666
301,0.35899580903269523
302,0.6245095388587951
303,0.6083387130566914
304,0.4820720527963086
305,0.5982895897542428
306,0.5736877670438255
307,0.49890793713142517
308,0.7072607374695934
309,0.6620245910437293
310,0.6548787227284606
311,0.6757133425433208
312,0.5990146234916067
313,0.635217252081511
314,0.6719254014617595
315,0.5968659121742035
316,0.608705668918309
317,0.461474668557831
318,0.6453768910991127
319,0.6503293965665969
320,0.6888574396843152
321,0.653617975289248
322,0.42022634773574513
323,0.11738845660140312
324,0.6490825160413688
325,0.0068953143227289205
326,0.5580446879849283
327,0.3550907471298587
328,0.42817651051956485
329,0.28982800406223097
330,0.5994197481058685
331,0.5103856498021244
332,0.6092850569988687
333,0.36471746713354547
334,0.6664387227385227
335,0.6644749170920796
336,0.674017325615541
337,0.3603970205867837
338,0.6951315412136576
339,0.6482981414060686
340,0.8132248716198444
341,0.4767637290574764
342,0.5604411116979555
343,0.6994708476951259
344,0.5079353297011966
345,0.6175467072788864
346,0.6129263113273471
347,0.47100712426793173
348,0.6127821345846725
349,0.6618240931139302
350,0.6882980552731632
351,0.5941906242760608
352,0.7110709688123458
353,0.5157356991701667
354,0.6787609867784442
355,0.611673784310755
356,0.7057096686017545
357,0.5943569433816936
358,0.6073721357225973
359,0.575035422344987
360,0.6434793943810337
361,0.675556105401236
362,0.7315476073959164
363,0.09045892501764824
364,0.6203952386899563
365,0.6518756136158155
366,0.46365282348643333
367,0.5540362014067064
368,0.556279365745608
369,0.5072604842567816
370,0.3455934254881924
371,0.5088745535449009
372,0.5555224158580713
373,0.5016312501181874
374,0.46878193162802206
375,0.30758191990096023
376,0.6859476943303902
377,0.5053036302386879
378,0.6659392549787153
379,0.6728440952047134
380,0.795355544232981
381,0.7218661908479715
382,0.49633572999273257
383,0.6177371820890063
384,0.5199257418105222
385,0.5454164215455747
386,0.5313067636058292
387,0.5122384632230469
388,0.604716634691514
389,0.6809392207563024
390,0.7063597009031488
391,0.6533479469477411
392,0.6621402611979965
393,0.639877387815298
394,0.6390407650198067
395,0.6136047665151819
396,0.5751734061682546
397,0.6065234735253558
398,0.5406347236916303
399,0.5940960902374675
400,0.624597090003245
401,0.6039185176119081
402,0.6583920237070212
403,0.5034715840687669
404,0.6081577142829079
405,0.4750732436483801
406,0.47549514965955453
407,0.5662074234414837
408,0.4487207974393344
409,0.5118614871645213
410,0.2269899532835758
411,0.2504765201189632
412,0.5123422359501795
413,0.36139935996231914
414,0.4030121806055871
415,0.3054837524747136
416,0.27053289246875206
417,0.6361650424091242
418,0.6515766033658996
419,0.6450515280623972
420,0.7023056865032596
421,0.5151564612267691
422,0.6920283613721898
423,0.6218324860882131
424,0.6520257805441649
425,0.5979910401273202
426,0.5958652136789655
427,0.5732635647058689
428,0.6427566848640652
429,0.5821714661363265
430,0.6899804546966367
431,0.6664298216684491
432,0.7433424041097211
433,0.7130870449885706
434,0.6390845484424363
435,0.6653735380896189
436,0.6380331353118107
437,0.562786079355508
438,0.6226512255850296
439,0.6368299452276766
440,0.5699543507749697
441,0.5418404854699748
442,0.708072886869118
443,0.7176364753745363
444,0.09920613433036758
445,0.6329535835291201
446,0.6313560048931542
447,0.5850309361151401
448,0.45968451014867007
449,0.4539028936022615
450,0.441006253453484
451,0.4783320677972665
452,0.21178125116475216
453,0.480787052118544
454,0.4971135111465847
455,0.5836658500391564
456,0.2905600597267158
457,0.6131011870999422
458,0.639192495912448
459,0.6475533041796497
460,0.6487315220284369
461,0.6194654737481066
462,0.5805451365632766
463,0.5852087282849963
464,0.716917247878743
465,0.38717506815903185
466,0.5588271619461486
467,0.6291876035657821
468,0.6222879236618349
469,0.6163394777337154
470,0.6256699507507718
471,0.594591216882766
472,0.7019626805312299
473,0.6109936690169363
474,0.6116736519812376
475,0.7121891860450842
476,0.6265949326011399
477,0.6444455908242358
478,0.5878184649610084
479,0.4797590008485566
480,0.6312614731924845
481,0.5488996647381428
482,0.7183111907601599
483,0.6474814552102598
484,0.5176196544869773
485,0.2346591555893153
486,0.6596953657499416
487,0.6917071701384842
488,0.6412553214512418
489,0.3357880129394575
490,0.6104984701748472
491,0.5923661824280713
492,0.29890534599696783
493,0.461797323103613
494,0.5777763705735997
495,0.5635591727163487
496,0.4753990619300388
497,0.43768284331636
498,0.6452829279996541
499,0.37260987918150273
500,0.6611599879804406
501,0.6211844270610506
502,0.6876232896050595
503,0.6440178742192997
504,0.5442755809123166
505,0.6994398056053873
506,0.5500215851895144
507,0.639595616544486
508,0.3658361675205194
509,0.5534572409848846
510,0.6648824505505907
511,0.6152037534284257
512,0.5719392275802977
513,0.6027462369546945
514,0.6552347304823798
515,0.5832756295899807
516,0.6551516030767075
517,0.6707265518309063
518,0.6235296903909403
519,0.583106974956592
520,0.536492451547242
521,0.6304327414134343
522,0.7088825610426911
523,0.7725843124977638
524,0.7432207400563546
525,0.5407157017197101
526,0.41755825998035284
527,0.46549241790406237
528,0.44544017557930765
529,0.5435229462764279
530,0.48948167014476845
531,0.5272047266592416
532,0.2697030444644105
533,0.5086817589747286
534,0.3075406564730637
535,0.5734639587523702
536,0.41614205460202824
537,0.5654686390779644
538,0.48937463810408044
539,0.6280051065443063
540,0.5371976092568544
541,0.6282482117929511
542,0.525641577464187
543,0.6153630593460514
544,0.5000842645048319
545,0.596486084287765
546,0.7059084115731328
547,0.5811366448402485
548,0.40104566699035626
549,0.5722168845347031
550,0.6761120695101637
551,0.6085488505676155
552,0.628026528701876
553,0.6962508808258728
554,0.603949008086016
555,0.6854662439499953
556,0.6815039145700653
557,0.6785928545756993
558,0.6325780042207154
559,0.533167391463828
560,0.6038341316244459
561,0.6372497550922318
562,0.5224571503130241
563,0.6302492568943201
564,0.7679336397258671
565,0.49449627132231655
566,0.4887124968925181
567,0.6461507093293581
568,0.3974613836360375
569,0.3725092959092081
570,0.4607007304026979
571,0.4978895297733378
572,0.1952517078988718
573,0.39076607466746904
574,0.3549017617120943
575,0.4224269746238058
576,0.5284746356929844
577,0.32230215979680593
578,0.27629054586278345
579,0.621446226885704
580,0.6164107654174112
581,0.5814335864114328
582,0.6992681664032058
583,0.8068776863004951
584,0.6707059802589476
585,0.6207904430762483
586,0.7700837794537032
587,0.6426390996028662
588,0.571883005155574
589,0.4658838307218962
590,0.5958361746109536
591,0.6951634069357905
592,0.6097695992878323
593,0.6614678979810845
594,0.7039884960442262
595,0.6950714276915124
596,0.7144330835969153
597,0.5809217585166785
598,0.5842091033734593
599,0.6096444375698205
600,0.6410672666258712
601,0.5858414986050674
602,0.6406149164979191
603,0.4003185429886764
604,0.6230196699535175
605,0.5357291333829137
