,KNN,Logistic_Regression,Random_Forest,SVM,Gradient_Boosting
71,0.6,0.6784379103714783,0.27,0.7072392441476342,0.7065948653704195
72,0.4,0.6339299917993682,0.13,0.676770255674048,0.49843739334173676
73,0.4,0.6863860409932674,0.3,0.7197491399565523,0.6511960642592299
74,0.8,0.7608837672913731,0.31,0.8170996788548128,0.8599872288949785
75,0.2,0.6805191077736964,0.23,0.7472339939826684,0.6676387735201323
76,0.4,0.7645849327239171,0.23,0.7820205769166119,0.6881525346315295
77,0.4,0.7276789324597066,0.21,0.7637107116797004,0.7758795568585242
78,0.6,0.7130067343988632,0.13,0.7411920215382961,0.6458258961995738
79,0.2,0.6839897144952621,0.1,0.7045817714049187,0.6039917427862975
80,0.6,0.6692122778647055,0.14,0.7064800311055321,0.5533661231935267
81,0.4,0.6929112765330881,0.25,0.7246017046499953,0.6183206975898483
82,0.8,0.7427101671079509,0.39,0.7792601438424555,0.8201100194266684
83,0.8,0.7794505214622669,0.25,0.8321057769321312,0.798697729508448
84,0.4,0.7299411227648553,0.21,0.7543800265576075,0.6457775271217967
85,0.6,0.7358629464478756,0.32,0.7848324981647138,0.7511102910531082
86,0.2,0.6592913879598181,0.21,0.7121663850584371,0.5828957948184686
87,0.4,0.688382225545556,0.25,0.7229028597344233,0.672590424195102
88,0.8,0.7116938063923218,0.35,0.7371485493369614,0.8009774576690405
89,0.8,0.6590701687909097,0.23,0.6925856637202767,0.6685942226526892
90,0.4,0.6702646574394102,0.16,0.6750733848384404,0.6216631431843983
91,0.0,0.6823359016107687,0.14,0.7227119298884104,0.6460528818714694
92,0.2,0.6435273835106278,0.19,0.703636746295784,0.5525857946980608
93,0.8,0.7904064010824339,0.33,0.8246513721740315,0.72432828592332
94,0.4,0.7083983703085085,0.23,0.723298558140196,0.7451396556982318
95,0.4,0.6335986548559804,0.3,0.6921533955607032,0.6000227034273529
96,0.4,0.6335032174819342,0.07,0.650950210262636,0.4330278986331274
97,0.4,0.7000096793222427,0.2,0.757532683912183,0.6266382748886496
98,0.6,0.73455106415992,0.13,0.7782194855638571,0.7024281607605584
99,0.4,0.6591839946299402,0.07,0.6896103883388222,0.5119011755742652
100,0.4,0.7327433374541672,0.37,0.7718269903163224,0.7692478218759525
101,0.8,0.7057462363454146,0.27,0.7113524256663147,0.6787029267779953
102,0.6,0.6708307258261245,0.15,0.7048243090366878,0.5362034739080278
103,0.4,0.6686220854025625,0.21,0.7201236693691585,0.6644920608168348
104,0.8,0.6690436552761986,0.2,0.7103776599329844,0.49670195699416203
105,0.4,0.6388130587939683,0.2,0.6899160909575272,0.5030394848959533
106,0.8,0.6481957510866349,0.2,0.7202361109699359,0.666918754465359
107,0.4,0.694221489020649,0.25,0.7161102756200293,0.6140819046357904
108,0.4,0.6446711598212239,0.26,0.7091283386990681,0.6281585711643614
109,0.2,0.5669674185630297,0.15,0.6579171483391159,0.49042540970711446
110,0.6,0.6607284753409034,0.17,0.677154332907709,0.5923510457192094
111,0.8,0.7234153032319387,0.4,0.7732442535636609,0.8031010408244765
112,0.8,0.7650762978399637,0.21,0.8249198119098158,0.7815564412318973
113,0.6,0.7571126435973805,0.26,0.8218379740863305,0.6900057096517371
114,0.8,0.6549061969479019,0.24,0.7080841583737368,0.5737757547535028
115,0.4,0.6637264546024503,0.21,0.6988860881521352,0.5581682454865288
116,0.8,0.6650932083850924,0.25,0.6974151732638724,0.5905245075192965
117,0.4,0.6621237312403694,0.21,0.7131681457344614,0.585617992949668
118,0.4,0.7165619081859325,0.19,0.7319849729629891,0.6710275311598534
119,0.2,0.6382225988588759,0.26,0.7061924037183266,0.609958911273121
120,0.8,0.7381938106503437,0.28,0.7580972030391262,0.6964074978042969
121,0.2,0.7150774550382207,0.19,0.7217049888006292,0.6363224649796569
122,0.6,0.6080932632790276,0.19,0.636263880173938,0.4988758666735445
123,0.6,0.6256371524480006,0.25,0.6635813198065016,0.7160835870844438
124,0.4,0.7071371089593455,0.21,0.7254442825408175,0.6833196397340074
125,0.4,0.5830445519027078,0.22,0.5967617988817646,0.5591757306866864
126,0.8,0.6768615047614123,0.11,0.7058058190462908,0.6392173960618867
127,0.4,0.6296702731806362,0.16,0.6632670101213547,0.49449696809447513
128,0.8,0.7907816714326594,0.26,0.8368464246554571,0.8008148953020676
129,0.6,0.5964616395263383,0.23,0.6455651305711643,0.6111889924766688
130,0.2,0.6696933348121064,0.19,0.6880913446177622,0.6054623800120325
131,0.6,0.6989427976175098,0.26,0.8016123774560043,0.43859200397137343
132,0.8,0.6392306055308847,0.29,0.762662788533555,0.6664409258282389
133,0.6,0.6117335492266123,0.19,0.7175636402509339,0.6650791956011259
134,0.6,0.7545285639459307,0.16,0.7729219007560729,0.6273510474453168
135,0.4,0.644455259439482,0.09,0.6868748560329343,0.49107373497907086
136,0.6,0.730806916082957,0.29,0.7960902033730686,0.763088517643076
137,0.4,0.6227807914634275,0.22,0.6822584470409625,0.6265403793728078
138,0.8,0.6594439677926665,0.2,0.7041719522835961,0.6163227394385395
139,0.4,0.686089676658698,0.2,0.7013522442478809,0.5887073731799009
